id;product_name;unit_price;category
HL-U509-R;Sport-100 Helmet, Red;34.99;Sport-100
SO-B909-M;Mountain Bike Socks, M;9.5;Mountain Bike Socks
SO-B909-L;Mountain Bike Socks, L;9.5;Mountain Bike Socks
FR-R72R-44;ML Road Frame - Red, 44;594.83;ML Road Frame
FR-R72R-48;ML Road Frame - Red, 48;594.83;ML Road Frame
FR-R72R-52;ML Road Frame - Red, 52;594.83;ML Road Frame
FR-R72R-58;ML Road Frame - Red, 58;594.83;ML Road Frame
FR-R72R-60;ML Road Frame - Red, 60;594.83;ML Road Frame
FR-M94S-44;HL Mountain Frame - Silver, 44;1364.5;HL Mountain Frame
FR-M94S-52;HL Mountain Frame - Silver, 48;1364.5;HL Mountain Frame
FR-M94B-44;HL Mountain Frame - Black, 44;1349.6;HL Mountain Frame
FR-M94B-48;HL Mountain Frame - Black, 48;1349.6;HL Mountain Frame
BK-R93R-62;Road-150 Red, 62;3578.27;Road-150
BK-R93R-44;Road-150 Red, 44;3578.27;Road-150
BK-R93R-48;Road-150 Red, 48;3578.27;Road-150
BK-R93R-52;Road-150 Red, 52;3578.27;Road-150
BK-R93R-56;Road-150 Red, 56;3578.27;Road-150
BK-R68R-58;Road-450 Red, 58;1457.99;Road-450
BK-R68R-60;Road-450 Red, 60;1457.99;Road-450
BK-R68R-44;Road-450 Red, 44;1457.99;Road-450
BK-R68R-48;Road-450 Red, 48;1457.99;Road-450
BK-R68R-52;Road-450 Red, 52;1457.99;Road-450
BK-M82S-38;Mountain-100 Silver, 38;3399.99;Mountain-100
BK-M82S-42;Mountain-100 Silver, 42;3399.99;Mountain-100
BK-M82S-44;Mountain-100 Silver, 44;3399.99;Mountain-100
BK-M82S-48;Mountain-100 Silver, 48;3399.99;Mountain-100
BK-M82B-38;Mountain-100 Black, 38;3374.99;Mountain-100
BK-M82B-42;Mountain-100 Black, 42;3374.99;Mountain-100
BK-M82B-44;Mountain-100 Black, 44;3374.99;Mountain-100
BK-M82B-48;Mountain-100 Black, 48;3374.99;Mountain-100
BK-M47B-38;Mountain-300 Black, 38;1079.99;Mountain-300
BK-M47B-40;Mountain-300 Black, 40;1079.99;Mountain-300
BK-M47B-44;Mountain-300 Black, 44;1079.99;Mountain-300
BK-M47B-48;Mountain-300 Black, 48;1079.99;Mountain-300
BK-R89R-44;Road-250 Red, 44;2443.35;Road-250
BK-R89R-48;Road-250 Red, 48;2443.35;Road-250
BK-R89R-52;Road-250 Red, 52;2443.35;Road-250
FK-1639;LL Fork;148.22;LL Fork
FK-5136;ML Fork;175.49;ML Fork
FK-9939;HL Fork;229.49;HL Fork
HS-0296;LL Headset;34.2;LL Headset
HS-2451;ML Headset;102.29;ML Headset
HS-3479;HL Headset;124.73;HL Headset
FR-M63B-38;ML Mountain Frame - Black, 38;348.76;ML Mountain Frame-W
FW-R820;HL Road Front Wheel;330.06;HL Road Front Wheel
FW-T905;Touring Front Wheel;218.01;Touring Front Wheel
RW-R820;HL Road Rear Wheel;357.06;HL Road Rear Wheel
RW-T905;Touring Rear Wheel;245.01;Touring Rear Wheel
FR-M63B-40;ML Mountain Frame - Black, 40;348.76;ML Mountain Frame
FR-M63B-44;ML Mountain Frame - Black, 44;348.76;ML Mountain Frame
FR-M63B-48;ML Mountain Frame - Black, 48;348.76;ML Mountain Frame
SH-M897-S;Men's Sports Shorts, S;59.99;Men's Sports Shorts
PA-T100;Touring-Panniers, Large;125;Touring-Panniers
LO-C100;Cable Lock;25;Cable Lock
PU-0452;Minipump;19.99;Minipump
PU-M044;Mountain Pump;24.99;Mountain Pump
LT-T990;Taillights - Battery-Powered;13.99;Taillight
