transaction_id;product_id;quantity;total_amount
WY812221;TT-R982;2;242.98
WY812221;HL-U509-R;1;121.49
WY812221;TI-R982;1;121.49
MA377489;TT-R982;2;242.98
MA377489;BK-R89B-52;1;1079.99
MA377489;TI-R982;1;121.49
LO599271;LJ-0192-M;1;121.49
GW967753;TT-M928;2;242.98
GW967753;TI-M602;2;242.98
ZC228626;TT-T092;2;242.98
LS244725;TI-R092;2;242.98
LS244725;BK-R19B-58;1;1079.99
MH474915;FE-6654;2;4886.7
OG656174;TT-M928;2;242.98
OG656174;TI-M602;2;242.98
BW911674;WB-H098;2;242.98
BW911674;SJ-0194-S;1;121.49
BW911674;BK-R79Y-40;1;1079.99
TQ438794;BK-R79Y-48;1;1079.99
BT463816;TT-R982;2;242.98
BT463816;TI-R092;2;528.1
RU955569;TT-M928;2;242.98
RU955569;TI-M602;2;242.98
YB838246;PK-7098;2;242.98
YB838246;TT-M928;2;242.98
HY132345;SJ-0194-S;1;249.79
BH381976;WB-H098;2;242.98
BH381976;CL-9009;2;4886.7
EN899545;SH-W890-M;1;2.29
HX466743;TI-R092;2;242.98
HX466743;PK-7098;1;121.49
NC487723;PK-7098;2;242.98
NC487723;TT-M928;2;242.98
QO449576;PK-7098;2;242.98
QO449576;TI-R092;2;242.98
KF165625;WB-H098;1;121.49
WG384831;RA-H123;1;121.49
UP541381;WB-H098;2;242.98
JL733482;SJ-0194-L;1;121.49
LW547841;TT-M928;2;242.98
LW547841;TI-M823;1;121.49
KW635279;TI-T723;3;364.47
KW635279;WB-H098;2;242.98
KW635279;TT-T092;2;242.98
KW635279;SJ-0194-M;1;121.49
YX489121;WB-H098;2;242.98
YX489121;BK-R79Y-40;1;9.99
JL379144;PK-7098;1;121.49
UI374864;WB-H098;2;242.98
UI374864;BK-R89R-58;1;121.49
AU568882;WB-H098;2;242.98
AU568882;FE-6654;2;242.98
AU568882;VE-C304-S;1;121.49
LT144974;WB-H098;2;242.98
YB159486;BK-R19B-52;1;121.49
DB385116;WB-H098;2;242.98
AY765116;WB-H098;2;242.98
AY765116;SJ-0194-M;1;121.49
DF153274;FE-6654;2;242.98
KW236729;BK-T18U-58;1;121.49
CJ731374;WB-H098;2;242.98
WB174242;WB-H098;2;242.98
WB174242;BC-R205;2;242.98
JO551227;TI-R628;3;364.47
EP231815;WB-H098;2;242.98
EP231815;SJ-0194-M;1;121.49
AL364937;TT-R982;2;242.98
AL364937;SJ-0194-L;1;121.49
AL364937;TI-R628;1;121.49
GN536159;TI-T723;3;364.47
GN536159;TT-T092;1;121.49
ET352227;BK-T79Y-46;1;121.49
RA935887;TT-M928;2;242.98
RA935887;TI-M267;2;242.98
TF721499;FE-6654;2;242.98
TF721499;TI-M823;1;121.49
