id;transaction_date;total_amount;cash_received;change_due;user_id
WY812221;2024-05-16 10:12:00;485.96;563;77.04;IZ6732
MA377489;2024-05-16 10:20:00;1444.46;1518;73.54;WB7662
LO599271;2024-05-16 10:28:00;121.49;155;33.51;SU7989
GW967753;2024-05-16 10:36:00;485.96;550;64.04;YZ6738
ZC228626;2024-05-16 10:44:00;242.98;336;93.02;MV5719
LS244725;2024-05-16 10:52:00;1322.97;1418;95.03;BR2618
MH474915;2024-05-16 11:00:00;4886.7;4891;4.3;WW6048
OG656174;2024-05-16 11:08:00;485.96;559;73.04;VG6492
BW911674;2024-05-16 11:16:00;1444.46;1495;50.54;OY4949
TQ438794;2024-05-16 11:24:00;1079.99;1096;16.01;EN2326
BT463816;2024-05-16 11:32:00;771.08;795;23.92;DM9669
RU955569;2024-05-16 11:40:00;485.96;519;33.04;MM2349
YB838246;2024-05-16 11:48:00;485.96;508;22.04;NJ0686
HY132345;2024-05-16 11:56:00;249.79;336;86.21;ZO1792
BH381976;2024-05-16 12:04:00;5129.68;5206;76.32;CA3616
EN899545;2024-05-16 12:12:00;2.29;66;63.71;GT0232
HX466743;2024-05-16 12:20:00;364.47;446;81.53;XP6344
NC487723;2024-05-16 12:28:00;485.96;558;72.04;YP0630
QO449576;2024-05-16 12:36:00;485.96;581;95.04;JS7233
KF165625;2024-05-16 12:44:00;121.49;210;88.51;YZ8302
WG384831;2024-05-16 12:52:00;121.49;125;3.51;EQ5031
UP541381;2024-05-16 13:00:00;242.98;283;40.02;KJ6302
JL733482;2024-05-16 13:08:00;121.49;153;31.51;KT0033
LW547841;2024-05-16 13:16:00;364.47;427;62.53;AM8799
KW635279;2024-05-16 13:24:00;971.92;992;20.08;BD7705
YX489121;2024-05-16 13:32:00;252.97;294;41.03;FH3994
JL379144;2024-05-16 13:40:00;121.49;129;7.51;OA7457
UI374864;2024-05-16 13:48:00;364.47;392;27.53;LD0735
AU568882;2024-05-16 13:56:00;607.45;639;31.55;AB1976
LT144974;2024-05-16 14:04:00;242.98;245;2.02;YZ8302
YB159486;2024-05-16 14:12:00;121.49;141;19.51;EQ5031
DB385116;2024-05-16 14:20:00;242.98;282;39.02;KJ6302
AY765116;2024-05-16 14:28:00;364.47;383;18.53;KT0033
DF153274;2024-05-16 14:36:00;242.98;321;78.02;AM8799
KW236729;2024-05-16 14:44:00;121.49;178;56.51;BD7705
CJ731374;2024-05-16 14:52:00;242.98;320;77.02;FH3994
WB174242;2024-05-16 15:00:00;485.96;514;28.04;OA7457
JO551227;2024-05-16 15:08:00;364.47;446;81.53;MV5719
EP231815;2024-05-16 15:16:00;364.47;388;23.53;BR2618
AL364937;2024-05-16 15:24:00;485.96;578;92.04;WW6048
GN536159;2024-05-16 15:32:00;485.96;549;63.04;VG6492
ET352227;2024-05-16 15:40:00;121.49;182;60.51;OY4949
RA935887;2024-05-16 15:48:00;485.96;548;62.04;EN2326
TF721499;2024-05-16 15:56:00;364.47;443;78.53;DM9669
